"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1980-01-01","31.0","24.0","T","T","T"
"1980-01-02","26.0","13.0","T","T","T"
"1980-01-03","20.0","13.0","0.06","1.40","T"
"1980-01-04","26.0","20.0","0.06","1.10","T"
"1980-01-05","26.0","21.0","T","T","1.00"
"1980-01-06","32.0","11.0","0.31","4.10","3.00"
"1980-01-07","11.0","-5.0","0.01","0.10","5.00"
"1980-01-08","-2.0","-12.0","0.00","0.00","5.00"
"1980-01-09","2.0","-15.0","0.00","0.00","5.00"
"1980-01-10","43.0","1.0","T","0.00","5.00"
"1980-01-11","43.0","0.0","0.05","1.10","5.00"
"1980-01-12","30.0","-7.0","T","T","5.00"
"1980-01-13","48.0","24.0","0.06","0.20","4.00"
"1980-01-14","37.0","16.0","0.00","0.00","2.00"
"1980-01-15","38.0","33.0","0.11","0.00","1.00"
"1980-01-16","36.0","30.0","0.06","0.30","1.00"
"1980-01-17","30.0","26.0","T","T","T"
"1980-01-18","29.0","23.0","T","T","T"
"1980-01-19","31.0","18.0","T","T","T"
"1980-01-20","40.0","13.0","0.00","0.00","T"
"1980-01-21","35.0","17.0","T","T","T"
"1980-01-22","33.0","4.0","T","T","T"
"1980-01-23","10.0","-4.0","0.06","1.20","T"
"1980-01-24","26.0","9.0","0.14","2.70","3.00"
"1980-01-25","16.0","-6.0","T","T","4.00"
"1980-01-26","-1.0","-14.0","0.00","0.00","4.00"
"1980-01-27","4.0","-9.0","0.00","0.00","4.00"
"1980-01-28","6.0","-8.0","T","0.20","4.00"
"1980-01-29","2.0","-12.0","0.00","0.00","4.00"
"1980-01-30","10.0","-1.0","0.02","0.50","4.00"
"1980-01-31","12.0","-7.0","0.00","0.00","4.00"
"1980-02-01","13.0","-9.0","T","T","4.00"
"1980-02-02","18.0","0.0","0.00","0.00","4.00"
"1980-02-03","18.0","0.0","0.00","0.00","4.00"
"1980-02-04","21.0","1.0","0.12","2.00","4.00"
"1980-02-05","24.0","13.0","0.09","1.90","7.00"
"1980-02-06","27.0","4.0","0.00","0.00","6.00"
"1980-02-07","19.0","-4.0","T","0.10","6.00"
"1980-02-08","22.0","-4.0","T","T","6.00"
"1980-02-09","17.0","-4.0","T","0.10","6.00"
"1980-02-10","23.0","11.0","0.04","0.90","7.00"
"1980-02-11","23.0","4.0","T","T","7.00"
"1980-02-12","18.0","-4.0","0.00","0.00","7.00"
"1980-02-13","27.0","15.0","T","0.20","5.00"
"1980-02-14","21.0","10.0","T","0.10","5.00"
"1980-02-15","16.0","3.0","0.03","0.30","5.00"
"1980-02-16","13.0","-4.0","0.00","0.00","5.00"
"1980-02-17","21.0","-7.0","0.00","0.00","5.00"
"1980-02-18","33.0","15.0","T","T","5.00"
"1980-02-19","35.0","31.0","0.18","0.70","5.00"
"1980-02-20","38.0","34.0","T","0.00","3.00"
"1980-02-21","37.0","34.0","0.03","T","2.00"
"1980-02-22","36.0","25.0","0.05","0.50","2.00"
"1980-02-23","29.0","15.0","T","T","2.00"
"1980-02-24","29.0","17.0","T","T","2.00"
"1980-02-25","18.0","3.0","T","T","1.00"
"1980-02-26","36.0","1.0","0.00","0.00","1.00"
"1980-02-27","22.0","12.0","0.13","2.00","1.00"
"1980-02-28","16.0","2.0","T","T","3.00"
"1980-02-29","10.0","-9.0","0.00","0.00","3.00"
"1980-03-01","15.0","-3.0","0.00","0.00","3.00"
"1980-03-02","28.0","1.0","0.00","0.00","2.00"
