"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1970-01-01","24.0","15.0","0.01","0.40","19.00"
"1970-01-02","19.0","-6.0","0.01","0.10","19.00"
"1970-01-03","10.0","-9.0","T","0.10","19.00"
"1970-01-04","12.0","-15.0","0.02","0.80","20.00"
"1970-01-05","0.0","-15.0","T","T","19.00"
"1970-01-06","-1.0","-19.0","T","T","18.00"
"1970-01-07","-3.0","-14.0","T","T","17.00"
"1970-01-08","3.0","-16.0","T","T","17.00"
"1970-01-09","6.0","-9.0","0.00","0.00","17.00"
"1970-01-10","19.0","-11.0","T","T","17.00"
"1970-01-11","25.0","4.0","T","T","16.00"
"1970-01-12","13.0","-5.0","0.00","0.00","16.00"
"1970-01-13","9.0","2.0","0.05","1.00","16.00"
"1970-01-14","17.0","9.0","0.01","0.10","17.00"
"1970-01-15","28.0","17.0","T","T","17.00"
"1970-01-16","24.0","-3.0","0.11","2.00","17.00"
"1970-01-17","-3.0","-19.0","0.05","2.00","20.00"
"1970-01-18","-13.0","-28.0","0.00","0.00","20.00"
"1970-01-19","-10.0","-34.0","0.00","0.00","20.00"
"1970-01-20","-10.0","-24.0","0.00","0.00","20.00"
"1970-01-21","-3.0","-29.0","T","T","20.00"
"1970-01-22","17.0","-3.0","0.03","1.50","20.00"
"1970-01-23","15.0","-8.0","T","T","21.00"
"1970-01-24","29.0","13.0","0.00","0.00","21.00"
"1970-01-25","32.0","18.0","0.10","0.80","20.00"
"1970-01-26","31.0","15.0","0.06","0.80","21.00"
"1970-01-27","34.0","4.0","0.01","T","21.00"
"1970-01-28","37.0","29.0","0.01","0.00","20.00"
"1970-01-29","29.0","11.0","T","0.20","19.00"
"1970-01-30","29.0","5.0","T","T","18.00"
"1970-01-31","33.0","16.0","0.00","0.00","18.00"
"1970-02-01","36.0","5.0","T","T","17.00"
"1970-02-02","5.0","-15.0","T","T","16.00"
"1970-02-03","-5.0","-21.0","0.02","0.40","16.00"
"1970-02-04","23.0","-5.0","0.07","1.20","15.00"
"1970-02-05","28.0","-2.0","T","T","16.00"
"1970-02-06","34.0","11.0","0.00","0.00","16.00"
"1970-02-07","40.0","29.0","0.00","0.00","15.00"
"1970-02-08","32.0","19.0","0.00","0.00","15.00"
"1970-02-09","27.0","14.0","0.00","0.00","14.00"
"1970-02-10","32.0","21.0","0.00","0.00","14.00"
"1970-02-11","28.0","11.0","T","0.10","14.00"
"1970-02-12","18.0","3.0","0.04","1.10","14.00"
"1970-02-13","8.0","-12.0","0.00","0.00","16.00"
"1970-02-14","9.0","-15.0","T","T","16.00"
"1970-02-15","15.0","-5.0","0.02","0.90","16.00"
"1970-02-16","31.0","-5.0","0.00","0.00","16.00"
"1970-02-17","38.0","15.0","0.00","0.00","16.00"
"1970-02-18","36.0","1.0","0.00","0.00","14.00"
"1970-02-19","14.0","-5.0","T","T","14.00"
