"Date","Maximum Temperature degrees (F)","Minimum Temperature degrees (F)","Precipitation (inches)","Snow (inches)","Snow Depth (inches)"
"1960-01-01","29.0","27.0","0.31","3.70","T"
"1960-01-02","32.0","15.0","0.17","2.90","6.00"
"1960-01-03","15.0","-11.0","T","T","7.00"
"1960-01-04","9.0","-15.0","0.01","0.10","7.00"
"1960-01-05","14.0","-19.0","0.01","0.20","7.00"
"1960-01-06","32.0","10.0","T","T","5.00"
"1960-01-07","36.0","23.0","0.03","0.30","5.00"
"1960-01-08","26.0","0.0","0.00","0.00","4.00"
"1960-01-09","32.0","13.0","0.00","0.00","4.00"
"1960-01-10","27.0","12.0","T","T","3.00"
"1960-01-11","35.0","10.0","0.01","T","3.00"
"1960-01-12","37.0","33.0","0.01","0.00","2.00"
"1960-01-13","36.0","34.0","T","0.00","2.00"
"1960-01-14","34.0","20.0","T","0.00","1.00"
"1960-01-15","21.0","10.0","0.00","0.00","1.00"
"1960-01-16","26.0","9.0","0.00","0.00","1.00"
"1960-01-17","27.0","10.0","0.00","0.00","1.00"
"1960-01-18","24.0","12.0","T","0.10","1.00"
"1960-01-19","19.0","8.0","T","0.10","1.00"
"1960-01-20","13.0","2.0","T","T","1.00"
"1960-01-21","14.0","1.0","T","T","1.00"
"1960-01-22","13.0","1.0","0.00","0.00","1.00"
"1960-01-23","17.0","2.0","T","T","1.00"
"1960-01-24","26.0","8.0","0.04","0.90","1.00"
"1960-01-25","23.0","5.0","T","T","2.00"
"1960-01-26","11.0","4.0","0.08","1.10","2.00"
"1960-01-27","24.0","8.0","T","T","3.00"
"1960-01-28","27.0","23.0","0.01","0.10","3.00"
"1960-01-29","31.0","21.0","0.00","0.00","3.00"
"1960-01-30","31.0","16.0","0.00","0.00","3.00"
"1960-01-31","33.0","16.0","0.00","0.00","2.00"
"1960-02-01","32.0","25.0","0.00","0.00","2.00"
"1960-02-02","29.0","21.0","0.00","0.00","1.00"
"1960-02-03","36.0","24.0","0.00","0.00","1.00"
"1960-02-04","36.0","18.0","0.00","0.00","T"
"1960-02-05","38.0","31.0","T","T","T"
"1960-02-06","34.0","22.0","T","T","T"
"1960-02-07","30.0","12.0","T","T","T"
"1960-02-08","39.0","15.0","0.00","0.00","T"
"1960-02-09","23.0","11.0","0.00","0.00","T"
"1960-02-10","23.0","9.0","T","T","T"
"1960-02-11","16.0","1.0","0.00","0.00","T"
"1960-02-12","19.0","0.0","0.00","0.00","T"
"1960-02-13","28.0","0.0","0.00","0.00","T"
"1960-02-14","30.0","8.0","T","T","T"
"1960-02-15","42.0","20.0","0.00","0.00","T"
"1960-02-16","32.0","20.0","0.05","0.50","T"
"1960-02-17","23.0","9.0","0.01","0.20","1.00"
"1960-02-18","17.0","0.0","0.01","0.10","1.00"
"1960-02-19","12.0","-7.0","0.00","0.00","1.00"
"1960-02-20","18.0","1.0","0.08","0.90","1.00"
"1960-02-21","21.0","13.0","0.07","1.00","2.00"
"1960-02-22","23.0","11.0","T","T","3.00"
"1960-02-23","23.0","1.0","T","T","3.00"
"1960-02-24","24.0","-1.0","0.00","0.00","2.00"
"1960-02-25","25.0","6.0","T","T","2.00"
"1960-02-26","20.0","10.0","T","T","2.00"
"1960-02-27","23.0","-4.0","0.00","0.00","2.00"
"1960-02-28","19.0","6.0","T","T","2.00"
"1960-02-29","16.0","-3.0","T","T","2.00"
"1960-03-01","14.0","-2.0","0.00","0.00","2.00"
"1960-03-02","15.0","1.0","0.01","0.40","2.00"
"1960-03-03","15.0","4.0","0.02","0.30","2.00"
"1960-03-04","9.0","-10.0","T","T","2.00"
"1960-03-05","13.0","-14.0","0.00","0.00","2.00"
"1960-03-06","14.0","-7.0","0.03","0.50","2.00"
"1960-03-07","20.0","-16.0","T","T","2.00"
"1960-03-08","23.0","1.0","0.00","0.00","2.00"
"1960-03-09","25.0","15.0","0.11","1.30","2.00"
"1960-03-10","29.0","7.0","T","T","3.00"
"1960-03-11","27.0","4.0","0.12","1.00","3.00"
"1960-03-12","20.0","-3.0","T","T","4.00"
"1960-03-13","23.0","-8.0","0.00","0.00","4.00"
"1960-03-14","28.0","-9.0","0.00","0.00","3.00"
"1960-03-15","31.0","6.0","0.00","0.00","3.00"
"1960-03-16","32.0","24.0","T","T","3.00"
"1960-03-17","33.0","12.0","0.00","0.00","2.00"
"1960-03-18","30.0","11.0","0.03","0.60","1.00"
